sc_ra,sc_dec,sc_poserr,sc_det_ml,sc_ep_1_flux,sc_ep_2_flux,sc_ep_3_flux,sc_ep_4_flux,sc_ep_5_flux,sc_ep_8_flux,sc_ep_9_flux,sc_hr1,sc_hr2,sc_hr3,sc_hr4,sc_extent,sc_ep_8_fmin,sc_ep_8_fmax,Class
59.49367213,10.49474788,2.2193258,16.39128,1.02E-15,2.18E-15,4.23E-15,1.70E-14,0,3.03E-14,2.13E-14,0.4202397,0.3090944,0.08322574,-1,0,3.03E-14,3.03E-14,0
107.8583214,44.0681882,0.35458726,36249.54,1.05E-13,1.60E-13,2.29E-13,4.34E-13,7.69E-13,1.70E-12,7.74E-13,0.10768892,0.11612438,-0.20077282,-0.39053607,0,1.47E-12,2.95E-12,0
36.47895354,37.56816475,1.0099118,339.0725,6.28E-15,1.98E-14,2.67E-14,1.98E-14,2.81E-14,1.23E-13,7.91E-14,0.4859101,0.1187348,-0.5529067,-0.7216365,0,1.23E-13,1.23E-13,0
129.0797873,21.35128334,0.39010274,60008,1.48E-13,3.27E-13,4.89E-13,6.65E-13,1.47E-12,3.10E-12,1.50E-12,0.3360724,0.1393865,-0.3539359,-0.2879872,0,3.10E-12,3.10E-12,0
21.41377897,32.38585075,0.62325853,2130.609,3.29E-14,1.15E-13,1.04E-13,7.98E-14,2.14E-13,5.46E-13,4.00E-13,0.4986683,-0.2100256,-0.5938724,-0.1165482,0,5.46E-13,5.46E-13,0
356.0076253,0.354538041,0.8190127,178.9892,1.53E-15,5.06E-15,7.60E-15,6.98E-15,2.79E-15,2.51E-14,2.17E-14,0.4323386,0.2051462,-0.4881279,-0.8447584,0,2.51E-14,2.51E-14,0
72.58226272,-9.520332268,0.9742993,171.0217,2.97E-15,5.77E-15,4.31E-15,5.58E-15,5.01E-16,2.01E-14,1.82E-14,0.2510282,-0.1495888,-0.4487932,-0.937888,0,2.01E-14,2.01E-14,0
136.6175837,5.449290454,0.7556218,645.8353,1.31E-14,2.42E-14,5.87E-14,8.14E-14,7.03E-14,2.54E-13,1.59E-13,0.2523621,0.4172779,-0.3393694,-0.5677446,0,2.54E-13,2.54E-13,0
157.7881053,-35.03106239,1.4179819,119.7621,4.04E-15,6.88E-15,1.89E-14,3.08E-14,1.10E-13,1.71E-13,5.45E-14,0.281698,0.5360536,-0.2593704,-0.1076491,0,1.71E-13,1.71E-13,0
156.774259,-43.72813507,0.47151345,1340.964,4.54E-15,1.76E-14,1.42E-14,1.03E-14,3.58E-14,8.45E-14,5.34E-14,0.5555942,-0.11517391,-0.56995285,-0.11751033,0,7.58E-14,3.68E-13,0
255.7181279,-41.48026314,1.390011,16.4149,6.69E-17,8.25E-17,3.88E-16,8.62E-15,1.14E-14,2.19E-14,5.09E-15,0.6210485,0.5837042,0.7139738,-0.1119532,0,2.19E-14,2.19E-14,1
64.64107307,57.53972571,0.29393142,393178.5,3.18E-16,3.79E-15,8.07E-15,3.82E-15,8.85E-16,1.70E-14,1.91E-14,0.79884493,0.7467676,0.035352938,-0.6503174,0,1.09E-14,8.51E-12,1
125.4889397,-43.00477446,0.38535756,486533.3,6.90E-14,9.33E-13,2.84E-12,1.77E-12,1.13E-13,5.78E-12,6.26E-12,0.85151154,0.46780854,-0.63790804,-0.96821326,0,5.30E-12,5.89E-12,1
162.5296495,-59.88927169,0.13321008,1580000,2.43E-14,2.21E-13,2.38E-12,4.85E-12,2.18E-12,9.62E-12,6.03E-12,0.78433967,0.82059866,-0.13977365,-0.7846725,0,6.62E-12,3.47E-11,1
266.4182017,-29.00693515,0.05379373,2580000,5.97E-16,1.44E-15,1.51E-14,1.43E-12,3.47E-12,4.73E-12,6.88E-13,0.3494328,0.75106096,0.93537116,-0.19610311,27.456673,7.20E-13,2.46E-10,1
276.1348086,-24.86855602,0.829598,12900000,1.59E-12,7.77E-12,3.02E-11,7.80E-11,1.67E-10,2.85E-10,1.00E-10,0.7443589,0.6645655,0.011781666,-0.37986833,0,2.80E-10,2.98E-10,1
285.5123503,-51.09906611,0.9394383,706.2231,2.42E-15,5.04E-15,4.74E-15,8.93E-15,1.78E-14,3.99E-14,1.82E-14,0.312097,-0.09397739,-0.2168008,-0.2389616,0,3.99E-14,3.99E-14,1
325.7641433,6.904918186,0.21550038,236136.9,1.36E-12,9.66E-13,7.32E-14,4.97E-16,1.21E-15,2.40E-12,1.36E-12,-0.21784787,-0.8801059,-0.9951102,-0.27806774,0,2.36E-12,2.48E-12,1
146.5323813,9.866663593,0.19134448,739.8687,1.56E-15,3.21E-15,2.97E-15,9.47E-16,7.93E-16,1.13E-14,1.03E-14,0.24801384,-0.07429722,-0.7462086,-0.6677995,0,7.06E-15,2.44E-14,1
129.2732715,6.170882412,1.499038,13.2319,2.76E-16,6.07E-16,6.15E-17,4.81E-16,0,1.73E-15,1.39E-15,0.2666633,-0.843791,0.1898731,-1,0,1.73E-15,1.73E-15,1
155.9486816,0.64472882,0.06071809,1080000,1.51E-13,2.97E-13,5.00E-13,9.73E-13,2.04E-12,4.68E-12,1.64E-12,0.36575934,0.22940995,-0.28482834,-0.499504,0,5.32E-13,1.99E-11,1
241.3269207,32.82198342,0.080589205,2600000,2.79E-12,1.42E-12,1.10E-13,3.25E-16,3.94E-17,4.33E-12,2.02E-12,-0.37183177,-0.8750897,-0.997492,-0.8146104,0,4.22E-12,4.84E-12,1
